draft_year,draft_id,league_name,league_id
2023,986824263854288897,High Steaks,986824263854288896
2022,850479863935631361,High Steaks,850479863935631360
2021,709980099197378561,High Steaks,709980099197378560
2020,579806258693967873,High Steaks,579806258693967872
2019,453401773009268736,High Steaks,453401771188940800
2023,992209949692043265,Low Expectations,992209949692043264
2022,855220876034039808,Low Expectations,855220875354542080
2024,1120567286148091905,Low Expectations,1120567286148091904
2024,1048181988521361409,Dynasty Die Hards,1048181988521361408
2024,,High Steaks,1117575265233842176
2023,919070539300347905,Dynasty Die Hards,919070539300347904
2022,786733104709619713,Dynasty Die Hards,786733104709619712
2021,728416965105926144,Dynasty Die Hards,728416947649232896
