Owner,Position,Player,Round,Draft Slot
Chris,DEF,Baltimore Ravens,11.0,2.0
Chris,DEF,Buffalo Bills,16.0,10.0
Chris,K,Justin Tucker,14.0,10.0
Chris,QB,Russell Wilson,12.0,10.0
Chris,QB,Lamar Jackson,13.0,10.0
Chris,RB,Chris Carson,6.0,10.0
Chris,RB,Mike Boone,,
Chris,RB,Josh Jacobs,2.0,10.0
Chris,TE,Darren Waller,12.0,8.0
Chris,WR,Breshad Perriman,,
Chris,WR,Chris Conley,,
Chris,WR,Tyrell Williams,8.0,10.0
Chris,WR,Michael Thomas,1.0,10.0
Chris,WR,Tyler Boyd,5.0,6.0
Chris,WR,Kenny Golladay,4.0,10.0
Chris,WR,Christian Kirk,9.0,10.0
Chuck,DEF,San Francisco 49ers,,
Chuck,DEF,Tennessee Titans,,
Chuck,K,Zane Gonzalez,,
Chuck,QB,Jimmy Garoppolo,16.0,2.0
Chuck,QB,Patrick Mahomes,10.0,2.0
Chuck,RB,Latavius Murray,8.0,2.0
Chuck,RB,Leonard Fournette,2.0,2.0
Chuck,RB,Alvin Kamara,1.0,2.0
Chuck,RB,Phillip Lindsay,5.0,2.0
Chuck,TE,Jacob Hollister,,
Chuck,TE,Rob Gronkowski,,
Chuck,WR,Mike Evans,3.0,2.0
Chuck,WR,Julian Edelman,4.0,2.0
Chuck,WR,Antonio Brown,2.0,3.0
Chuck,WR,DK Metcalf,11.0,8.0
Chuck,WR,Hollywood Brown,,
Damon,DEF,Los Angeles Chargers,12.0,4.0
Damon,DEF,New Orleans Saints,16.0,6.0
Damon,K,Nick Folk,,
Damon,QB,Aaron Rodgers,8.0,7.0
Damon,RB,Adrian Peterson,13.0,7.0
Damon,RB,Melvin Gordon,5.0,7.0
Damon,RB,Raheem Mostert,,
Damon,RB,Nick Chubb,10.0,7.0
Damon,RB,Kerryon Johnson,3.0,5.0
Damon,RB,Bo Scarbrough,,
Damon,RB,David Montgomery,4.0,7.0
Damon,TE,Travis Kelce,2.0,7.0
Damon,WR,DeAndre Hopkins,1.0,7.0
Damon,WR,Keenan Allen,3.0,7.0
Damon,WR,Jarvis Landry,7.0,7.0
Damon,WR,William Fuller,9.0,7.0
David,DEF,Detroit Lions,15.0,7.0
David,DEF,Green Bay Packers,,
David,DEF,Indianapolis Colts,,
David,K,Wil Lutz,14.0,5.0
David,QB,Tom Brady,13.0,9.0
David,QB,Dak Prescott,15.0,4.0
David,RB,Devonta Freeman,2.0,4.0
David,RB,Carlos Hyde,14.0,4.0
David,RB,Duke Johnson,5.0,10.0
David,RB,Ezekiel Elliott,1.0,4.0
David,RB,Kenyan Drake,6.0,4.0
David,TE,Zach Ertz,3.0,8.0
David,WR,Adam Thielen,3.0,4.0
David,WR,Cooper Kupp,4.0,4.0
David,WR,DJ Moore,10.0,4.0
David,WR,Courtland Sutton,13.0,4.0
Eric,DEF,Los Angeles Rams,10.0,1.0
Eric,DEF,Minnesota Vikings,15.0,1.0
Eric,K,Joey Slye,,
Eric,QB,Drew Brees,9.0,1.0
Eric,QB,Philip Rivers,14.0,1.0
Eric,RB,Jordan Howard,8.0,1.0
Eric,RB,Joe Mixon,2.0,1.0
Eric,RB,Austin Ekeler,6.0,1.0
Eric,RB,Saquon Barkley,1.0,1.0
Eric,RB,Royce Freeman,12.0,1.0
Eric,TE,Kyle Rudolph,,
Eric,WR,Marvin Jones,11.0,1.0
Eric,WR,T.Y. Hilton,4.0,1.0
Eric,WR,Jamison Crowder,,
Eric,WR,JuJu Smith-Schuster,3.0,1.0
Eric,WR,A.J. Green,7.0,1.0
Jono,DEF,Cleveland Browns,,
Jono,K,Jake Elliott,,
Jono,QB,Kirk Cousins,,
Jono,QB,Josh Allen,,
Jono,RB,James White,7.0,5.0
Jono,RB,David Johnson,1.0,5.0
Jono,RB,Derrick Henry,3.0,9.0
Jono,RB,Jamaal Williams,,
Jono,RB,LeSean McCoy,7.0,9.0
Jono,TE,Jared Cook,7.0,10.0
Jono,TE,Evan Engram,5.0,5.0
Jono,WR,Larry Fitzgerald,13.0,5.0
Jono,WR,DeVante Parker,,
Jono,WR,Tyler Lockett,12.0,5.0
Jono,WR,Stefon Diggs,4.0,5.0
Jono,WR,Emmanuel Sanders,9.0,8.0
Justin,DEF,Philadelphia Eagles,15.0,5.0
Justin,K,Younghoe Koo,,
Justin,QB,Jameis Winston,,
Justin,RB,Le'Veon Bell,1.0,9.0
Justin,RB,Aaron Jones,4.0,9.0
Justin,RB,Derrius Guice,6.0,9.0
Justin,RB,Miles Sanders,7.0,2.0
Justin,RB,Darwin Thompson,,
Justin,TE,George Kittle,10.0,9.0
Justin,WR,Robert Woods,4.0,8.0
Justin,WR,Allen Robinson,5.0,9.0
Justin,WR,Brandin Cooks,3.0,10.0
Justin,WR,Tyreek Hill,2.0,5.0
Justin,WR,Mike Williams,6.0,8.0
Justin,WR,Deebo Samuel,16.0,5.0
Justin,WR,Julio Jones,2.0,9.0
Mike,DEF,Houston Texans,,
Mike,K,Josh Lambo,,
Mike,K,Harrison Butker,14.0,8.0
Mike,QB,Carson Wentz,9.0,9.0
Mike,QB,Baker Mayfield,8.0,4.0
Mike,RB,Todd Gurley,1.0,8.0
Mike,RB,James Conner,10.0,8.0
Mike,RB,Matt Breida,7.0,8.0
Mike,RB,Jaylen Samuels,10.0,6.0
Mike,RB,Devin Singletary,8.0,8.0
Mike,TE,Darren Fells,,
Mike,TE,Hunter Henry,5.0,4.0
Mike,WR,Odell Beckham,2.0,8.0
Mike,WR,Chris Godwin,5.0,8.0
Mike,WR,DJ Chark,,
Mike,WR,Terry McLaurin,,
Pat,DEF,New England Patriots,,
Pat,DEF,Seattle Seahawks,13.0,3.0
Pat,K,Austin Seibert,16.0,3.0
Pat,QB,Deshaun Watson,6.0,5.0
Pat,RB,Tevin Coleman,5.0,3.0
Pat,RB,DeAndre Washington,,
Pat,RB,Christian McCaffrey,1.0,3.0
Pat,RB,Kareem Hunt,11.0,3.0
Pat,RB,Sony Michel,4.0,3.0
Pat,RB,Ronald Jones,12.0,3.0
Pat,TE,Austin Hooper,,
Pat,TE,Greg Olsen,14.0,6.0
Pat,WR,Sammy Watkins,8.0,9.0
Pat,WR,Amari Cooper,3.0,3.0
Pat,WR,Anthony Miller,,
Pat,WR,Golden Tate,16.0,9.0
Stephen,DEF,Pittsburgh Steelers,,
Stephen,K,Robbie Gould,15.0,2.0
Stephen,QB,Ryan Tannehill,,
Stephen,QB,Matt Ryan,9.0,6.0
Stephen,QB,Kyler Murray,15.0,6.0
Stephen,RB,Dalvin Cook,1.0,6.0
Stephen,RB,Marlon Mack,4.0,6.0
Stephen,RB,Alexander Mattison,13.0,6.0
Stephen,RB,Mark Ingram,3.0,6.0
Stephen,TE,Jack Doyle,,
Stephen,TE,Mark Andrews,,
Stephen,WR,Davante Adams,2.0,6.0
Stephen,WR,Zach Pascal,,
Stephen,WR,Michael Gallup,11.0,6.0
Stephen,WR,A.J. Brown,,
Stephen,WR,Darius Slayton,,
